"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-06-30,2439,"Mitchell","TX",,1710,66900,-0.00741839762611276,-0.0147275405007364,0.00753012048192771,,,"2018-01","2018-Q1",68100,-0.0176211453744493,"2017-08"
2018-06-30,2919,"Deer Lodge","MT",,1711,118000,0.000848176420695505,0.000848176420695505,0.0269799825935596,,,"2003-04","2003-Q2",129300,-0.0873936581593194,"2001-11"
2018-06-30,1596,"Carroll","MO",,1712,66000,-0.00151285930408472,-0.00452488687782805,-0.0350877192982456,,,"2017-09","2017-Q3",69200,-0.046242774566474,"2017-03"
2018-06-30,1541,"Benewah","ID",,1713,190400,0.0111524163568773,0.03873431533006,0.0763143018654607,,,"2018-06","2018-Q2",190400,0,"2018-06"
2018-06-30,2003,"Rosebud","MT",,1714,133600,-0.0198092443140132,-0.0531537916371368,-0.0637701471618781,,,"2017-06","2017-Q2",142700,-0.0637701471618781,"2014-07"
2018-06-30,2152,"Brewster","TX",,1715,192300,0.00522739153162572,0.00891920251836306,0.0725041829336308,,,"2018-06","2018-Q2",192300,0,"2018-06"
2018-06-30,964,"Cuming","NE",,1716,141300,0.0180115273775216,0.0451183431952663,0.128594249201278,,,"2018-06","2018-Q2",141300,0,"2018-06"
2018-06-30,3035,"Stillwater","MT",,1717,192100,0.0047071129707113,-0.00259605399792316,0.0578193832599119,,,"2018-03","2018-Q1",192600,-0.00259605399792316,"2018-03"
2018-06-30,3091,"Clear Creek","CO","Denver",1718,334700,0.0072223894071622,0.0266871165644172,0.081421647819063,,,"2018-06","2018-Q2",334700,0,"2018-06"
2018-06-30,835,"Archer","TX","Wichita Falls",1719,137600,0.0102790014684288,0.0291697830964847,0.0392749244712991,,,"2018-06","2018-Q2",137600,0,"2018-06"
2018-06-30,195,"Jack","TX",,1720,69900,0.0204379562043796,0.047976011994003,0.0432835820895522,,,"2012-11","2012-Q4",76700,-0.0886571056062582,
2018-06-30,980,"Dawson","MT",,1721,168600,0.00297441998810232,0,0.0637223974763407,,,"2018-06","2018-Q2",168600,0,"2018-06"
2018-06-30,1188,"McLean","ND",,1722,170200,0.000587889476778366,-0.000587199060481503,0.00294637595757219,,,"2018-01","2018-Q1",170700,-0.00292911540714704,"2017-12"
